Id,Nombre,Abreviatura,Codigo,Nacionalidad,CreadoPor,FechaCreacion,ModificadoPor,FechaModificacion,CreadoPorId,ModificadoPorId
185,ISLAS GRAN CAIMAN,CYM,9887,Caimanés/esa,SA,2025-04-28T16:29:47.3200000,,,,
186,MACEDONIA,MKD,9571,Macedonio/a,SA,2025-04-28T16:29:47.3200000,,,,
187,EL SALVADOR,SLV,9300,Salvadoreño/a,SA,2025-04-28T16:29:47.3200000,,,,
188,BULGARIA,BGR,9369,Búlgaro/a,SA,2025-04-28T16:29:47.3200000,,,,
189,DJIBOUTI,DJI,9439,Yibutiano/a,SA,2025-04-28T16:29:47.3200000,,,,
190,INDIA,IND,9510,Indio/a,SA,2025-04-28T16:29:47.3200000,,,,
191,MALI,MLI,9579,Maliense,SA,2025-04-28T16:29:47.3200000,,,,
192,PORTUGAL,PRT,9654,Portugués/esa,SA,2025-04-28T16:29:47.3200000,,,,
193,TAILANDIA,THA,9711,Tailandés/esa,SA,2025-04-28T16:29:47.3200000,,,,
194,UCRANIA,UKR,9736,Ucraniano/a,SA,2025-04-28T16:29:47.3200000,,,,
195,UZBEKISTAN,UZB,9737,Uzbeko/a,SA,2025-04-28T16:29:47.3200000,,,,
196,PALESTINA,PSE,9640,Palestino/a,SA,2025-04-28T16:29:47.3200000,,,,
197,CROACIA,HRV,9641,Croata,SA,2025-04-28T16:29:47.3200000,,,,
198,REPUBLICA DE ARMENIA,ARM,9673,Armenio/a,SA,2025-04-28T16:29:47.3200000,,,,
199,GEORGIA,GEO,9472,Georgiano/a,SA,2025-04-28T16:29:47.3200000,,,,
200,ALEMANIA,DEU,9311,Alemán/a,SA,2025-04-28T16:29:47.3200000,,,,
201,RUSIA,RUS,9733,Ruso/a,SA,2025-04-28T16:29:47.3200000,,,,
202,KASAKISTAN,KAZ,9541,Kazajo/a,SA,2025-04-28T16:29:47.3200000,,,,
203,VIETNAM,VNM,9746,Vietnamita,SA,2025-04-28T16:29:47.3200000,,,,
204,LETONIA,LVA,9551,Letón/a,SA,2025-04-28T16:29:47.3200000,,,,
205,ESLOVENIA,SVN,9451,Esloveno/a,SA,2025-04-28T16:29:47.3200000,,,,
206,AZERBAIYAN,AZE,9338,Azerbaiyano/a,SA,2025-04-28T16:29:47.3200000,,,,
207,BIELORRUSIA,BLR,9353,Bielorruso/a,SA,2025-04-28T16:29:47.3200000,,,,
208,GROENLANDIA,GRL,9482,Groenlandés/esa,SA,2025-04-28T16:29:47.3200000,,,,
209,GUINEA-BISSAU,GNB,9494,Guineano/a,SA,2025-04-28T16:29:47.3200000,,,,
210,ISLA DE COCOS,CCK,9524,Cocoseño/a,SA,2025-04-28T16:29:47.3200000,,,,
211,ALAND,ALA,9304,Alandés/esa,SA,2025-04-28T16:29:47.3200000,,,,
212,ARUBA,ABW,9332,Arubeño/a,SA,2025-04-28T16:29:47.3200000,,,,
213,ERITREA,ERI,9454,Eritreo/a,SA,2025-04-28T16:29:47.3200000,,,,
214,ESTONIA,EST,9457,Estonio/a,SA,2025-04-28T16:29:47.3200000,,,,
215,GUADALUPE,GLP,9489,Guadalupeño/a,SA,2025-04-28T16:29:47.3200000,,,,
216,GUAYANA FRANCESA,GUF,9491,Guyanés/esa,SA,2025-04-28T16:29:47.3200000,,,,
217,GUERNSEY,GGY,9492,Guernseano/a,SA,2025-04-28T16:29:47.3200000,,,,
218,ISLA DE NAVIDAD,CHR,9523,Navideño/a,SA,2025-04-28T16:29:47.3200000,,,,
219,ISLAS AZORES,AZE,9530,Azoriano/a,SA,2025-04-28T16:29:47.3200000,,,,
220,ISLA QESHM,QSM,9532,Qeshmí,SA,2025-04-28T16:29:47.3200000,,,,
221,ISLAS MARIANAS DEL NORTE,MNP,9535,Marianense,SA,2025-04-28T16:29:47.3200000,,,,
222,ISLAS ULTRAMARINAS DE EE UU,UMI,9542,Estadounidense,SA,2025-04-28T16:29:47.3200000,,,,
223,JERSEY,JEY,9547,Jersiano/a,SA,2025-04-28T16:29:47.3200000,,,,
224,KIRGUISTAN,KGZ,9548,Kirguís,SA,2025-04-28T16:29:47.3200000,,,,
225,MALI,MLI,9574,Maliense,SA,2025-04-28T16:29:47.3200000,,,,
226,MAYOTTE,MYT,9598,Mahorés/esa,SA,2025-04-28T16:29:47.3200000,,,,
227,MOLDAVIA,MDA,9602,Moldavo/a,SA,2025-04-28T16:29:47.3200000,,,,
228,MONTENEGRO,MNE,9607,Montenegrino/a,SA,2025-04-28T16:29:47.3200000,,,,
229,MONSERRAT,MSR,9608,Montserratense,SA,2025-04-28T16:29:47.3200000,,,,
230,NORFOLK,NFK,9623,Norfolkense,SA,2025-04-28T16:29:47.3200000,,,,
231,POLINESIA FRANCESA,PYF,9652,Polinesio/a,SA,2025-04-28T16:29:47.3200000,,,,
232,SVALBARD Y JAN MAYEN,SJM,9692,Svalbardense,SA,2025-04-28T16:29:47.3200000,,,,
233,TAYIKISTAN,TJK,9709,Tayiko/a,SA,2025-04-28T16:29:47.3200000,,,,
234,TERRITORIO BRITANICO DEL OCEANO INDICO,IOT,9712,Británico/a,SA,2025-04-28T16:29:47.3200000,,,,
235,TIMOR ORIENTAL,TLS,9716,Timorense,SA,2025-04-28T16:29:47.3200000,,,,
236,TOKELAU,TKL,9718,Tokelauense,SA,2025-04-28T16:29:47.3200000,,,,
237,TURKMENISTAN,TKM,9719,Turcomano/a,SA,2025-04-28T16:29:47.3200000,,,,
238,YIBUTI,DJI,9751,Yibutiano/a,SA,2025-04-28T16:29:47.3200000,,,,
239,WALLIS Y FUTUNA,WLF,9452,Wallisiano/a,SA,2025-04-28T16:29:47.3200000,,,,
240,NEVADA (USA),USA,9901,Estadounidense,SA,2025-04-28T16:29:47.3200000,,,,
241,WYOMING (USA),USA,9902,Estadounidense,SA,2025-04-28T16:29:47.3200000,,,,
242,"CAMPIONE D''ITALIA, ITALIA",ITA,9903,Italiano/a,SA,2025-04-28T16:29:47.3200000,,,,
243,REPUBLICA CHECA,CZE,9664,Checo/a,SA,2025-04-28T16:29:47.3200000,,,,
244,CURAZAO,CUW,9415,Curazoleño/a,SA,2025-04-28T16:29:47.3200000,,,,
245,FLORIDA (USA),USA,9904,Estadounidense,SA,2025-04-28T16:29:47.3200000,,,,
246,INGLATERRA Y GALES,GBR,9514,Británico/a,SA,2025-04-28T16:29:47.3200000,,,,
247,TEXAS (USA),USA,9906,Estadounidense,SA,2025-04-28T16:29:47.3200000,,,,
248,BOSNIA Y HERZEGOVINA,BIH,9359,Bosnio/a,SA,2025-04-28T16:29:47.3200000,,,,
249,GUINEA ECUATORIAL,GNQ,9493,Ecuatoguineano/a,SA,2025-04-28T16:29:47.3200000,,,,
250,ISLA DE MAN,IMN,9521,Manés/esa,SA,2025-04-28T16:29:47.3200000,,,,
251,ISLAS MALVINAS,FLK,9533,Malvinense,SA,2025-04-28T16:29:47.3200000,,,,
252,ISLAS PITCAIRN,PCN,9538,Pitcairnense,SA,2025-04-28T16:29:47.3200000,,,,
253,SERBIA,SRB,9689,Serbio/a,SA,2025-04-28T16:29:47.3200000,,,,
254,TERRITORIOS AUSTRALES FRANCESES,ATF,9713,Francés/esa,SA,2025-04-28T16:29:47.3200000,,,,
255,ESLOVAQUIA,SVK,9449,Eslovaco/a,SA,2025-04-28T16:29:47.3200000,,,,
256,SAN MAARTEN,SXM,9888,Sanmartinense,SA,2025-04-28T16:29:47.3200000,,,,
257,GUAM,GUM,9490,Guameño/a,SA,2025-04-28T16:29:47.3200000,,,,
258,ISLAS COOK,COK,9527,Cookiano/a,SA,2025-04-28T16:29:47.3200000,,,,
259,ISLAS FEROE,FRO,9529,Feroés/esa,SA,2025-04-28T16:29:47.3200000,,,,
260,ISLAS MARSHALL,MHL,9536,Marshallés/esa,SA,2025-04-28T16:29:47.3200000,,,,
261,ISLAS VIRGENES ESTADOUNIDENSES,VIR,9545,Estadounidense,SA,2025-04-28T16:29:47.3200000,,,,
262,MACAO,MAC,9568,Macanés/esa,SA,2025-04-28T16:29:47.3200000,,,,
263,NAMIBIA,NAM,9610,Namibio/a,SA,2025-04-28T16:29:47.3200000,,,,
264,NIUE,NIU,9622,Niueano/a,SA,2025-04-28T16:29:47.3200000,,,,
265,PALAOS,PLW,9643,Palauano/a,SA,2025-04-28T16:29:47.3200000,,,,
266,REUNION,REU,9667,Reunionés/esa,SA,2025-04-28T16:29:47.3200000,,,,
267,SAHARA OCCIDENTAL,ESH,9676,Saharaui,SA,2025-04-28T16:29:47.3200000,,,,
268,SAMOA AMERICANA,ASM,9685,Samoano/a (Americano/a),SA,2025-04-28T16:29:47.3200000,,,,
269,SAN PEDRO Y MIQUELON,SPM,9686,Sanpedrino/a y Miquelonense,SA,2025-04-28T16:29:47.3200000,,,,
270,SANTA ELENA,SHN,9688,Santahelenense,SA,2025-04-28T16:29:47.3200000,,,,
271,TERRITORIOS PALESTINOS,PSE,9715,Palestino/a,SA,2025-04-28T16:29:47.3200000,,,,
272,DELAWARE (USA),USA-DE,9900,Estadounidense (Delaware),SA,2025-04-28T16:29:47.3200000,,,,
273,BURKINA FASO,BFA,9371,Burkinabé,SA,2025-04-28T16:29:47.3200000,,,,
274,CABINDA,CAB,9376,Cabindés/esa,SA,2025-04-28T16:29:47.3200000,,,,
275,WASHINGTON (USA),USA-WA,9907,Estadounidense (Washington),SA,2025-04-28T16:29:47.3200000,,,,
